conceptId	en	latin_ta	english_ta	mapping_status	current_ru	decision	final_ru	reason	confidence
FMA14784	posterior superior pancreaticoduodenal artery	arteria pancreaticoduodenalis superior posterior	posterior superior pancreaticoduodenal artery	EXACT	Задняя верхняя поджелудочно-двенадцатиперстная артерия	KEEP	Задняя верхняя поджелудочно-двенадцатиперстная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14787	dorsal pancreatic artery	arteria pancreatica dorsalis	dorsal pancreatic artery	EXACT	Тыльная поджелудочная артерия	KEEP	Тыльная поджелудочная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14790	inferior pancreatic artery	arteria pancreatica inferior	inferior pancreatic artery	EXACT	Нижняя поджелудочная артерия	KEEP	Нижняя поджелудочная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14792	great pancreatic artery	arteria pancreatica magna	great pancreatic artery	EXACT	Большая поджелудочная артерия	KEEP	Большая поджелудочная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14793	caudal pancreatic artery			NO_MATCH	Хвостовая поджелудочная артерия	KEEP	Хвостовая поджелудочная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14796	left gastro-epiploic artery			NO_MATCH	Левый гастро-эпиплоик артерия	APPLY	Левая гастро-эпиплоик артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA14805	inferior pancreaticoduodenal artery	arteria pancreaticoduodenalis inferior	inferior pancreaticoduodenal artery	EXACT	Нижняя поджелудочно-двенадцатиперстная артерия	KEEP	Нижняя поджелудочно-двенадцатиперстная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14809	ileal artery			NO_MATCH	Подвздошная артерия	KEEP	Подвздошная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14810	middle colic artery	arteria colica media	middle colic artery	EXACT	Средняя ободочная артерия	KEEP	Средняя ободочная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14811	right colic artery	arteria colica dextra	right colic artery	EXACT	Правый ободочная артерия	APPLY	Правая ободочная артерия	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA14812	celiac trunk			NO_MATCH	Чревная туловище	KEEP	Чревная туловище	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14815	ileocolic artery	arteria ileocolica	ileocolic artery	EXACT	Подвздошно-ободочная артерия	KEEP	Подвздошно-ободочная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14816	anterior cecal artery			NO_MATCH	Передняя слепокишечная артерия	KEEP	Передняя слепокишечная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14817	posterior cecal artery			NO_MATCH	Задняя слепокишечная артерия	KEEP	Задняя слепокишечная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14818	appendicular artery	arteria appendicularis	appendicular artery	EXACT	Артерия червеобразного отростка	KEEP	Артерия червеобразного отростка	Exact TA2 mapping; current Russian term is grammatical and semantically complete.	HIGH
FMA14819	ileal branch of inferior branch of ileocolic artery			NO_MATCH	Подвздошная ветвь нижняя ветвь подвздошно-ободочная артерия	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA14820	ascending branch of inferior branch of ileocolic artery			NO_MATCH	Восходящая ветвь нижней ветви подвздошно-ободочной артерии	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA14821	branch of ileocolic artery			NO_MATCH	Ветвь подвздошно-ободочной артерии	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA14824	marginal colic artery			NO_MATCH	Краевая ободочная артерия	KEEP	Краевая ободочная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14825	trunk of branch of inferior mesenteric artery			NO_MATCH	Туловище ветвь нижняя брыжеечная артерия	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA14826	left colic artery	arteria colica sinistra	left colic artery	EXACT	Левый ободочная артерия	APPLY	Левая ободочная артерия	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA14828	ascending branch of left colic artery	ramus ascendens arteriae colicae sinistrae	ascending branch of left colic artery	EXACT	Восходящая ветвь левой ободочной артерии	KEEP	Восходящая ветвь левой ободочной артерии	Exact TA2 mapping; current Russian term is grammatical and semantically complete.	HIGH
FMA14829	descending branch of left colic artery	ramus descendens arteriae colicae sinistrae	descending branch of left colic artery	EXACT	Нисходящая ветвь левый ободочная артерия	APPLY	Нисходящая ветвь левой ободочной артерии	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA14830	sigmoid artery			NO_MATCH	Сигмовидная артерия	KEEP	Сигмовидная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14831	marginal artery of colon			NO_MATCH	Краевая артерия ободочная кишка	KEEP	Краевая артерия ободочная кишка	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14832	superior rectal artery	arteria anorectalis superior	superior anorectal artery	EXACT	Верхняя прямокишечная артерия	KEEP	Верхняя прямокишечная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14837	subdivision of hepatic artery proper			NO_MATCH	Подразделение печёночная артерия собственно	KEEP	Подразделение печёночная артерия собственно	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14963	zone of ileum			NO_MATCH	Зона подвздошная кишка	KEEP	Зона подвздошная кишка	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14964	proximal part of ileum			NO_MATCH	Проксимальная часть подвздошная кишка	KEEP	Проксимальная часть подвздошная кишка	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14965	middle part of ileum			NO_MATCH	Средняя часть подвздошная кишка	KEEP	Средняя часть подвздошная кишка	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA14966	distal part of ileum			NO_MATCH	Дистальная часть подвздошная кишка	KEEP	Дистальная часть подвздошная кишка	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15041	taenia coli			NO_MATCH	Лента ободочной кишки	KEEP	Лента ободочной кишки	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15042	taenia mesocolica			NO_MATCH	Лента мэсоколика	KEEP	Лента мэсоколика	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15043	taenia omentalis			NO_MATCH	Лента омэнталис	KEEP	Лента омэнталис	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15044	taenia libera			NO_MATCH	Лента свободная	KEEP	Лента свободная	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15370	lumbar vein			NO_MATCH	Поясничная вена	KEEP	Поясничная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15387	tributary of splenic vein			NO_MATCH	Приток селезёночная вена	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15390	left gastroepiploic vein			NO_MATCH	Левый желудочно-сальниковая вена	APPLY	Левая желудочно-сальниковая вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15391	inferior mesenteric vein	vena mesenterica inferior	inferior mesenteric vein	EXACT	Нижняя брыжеечная вена	KEEP	Нижняя брыжеечная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15392	tributary of inferior mesenteric vein			NO_MATCH	Приток нижняя брыжеечная вена	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15393	superior rectal vein	vena anorectalis superior	superior anorectal vein	EXACT	Верхняя прямокишечная вена	KEEP	Верхняя прямокишечная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15394	left colic vein	vena colica sinistra	left colic vein	EXACT	Левый ободочная вена	APPLY	Левая ободочная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA15395	sigmoid vein			NO_MATCH	Сигмовидная вена	KEEP	Сигмовидная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15396	tributary of superior mesenteric vein			NO_MATCH	Приток верхняя брыжеечная вена	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15397	right gastroepiploic vein			NO_MATCH	Правый желудочно-сальниковая вена	APPLY	Правая желудочно-сальниковая вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15398	pancreaticoduodenal vein			NO_MATCH	Поджелудочно-двенадцатиперстная вена	KEEP	Поджелудочно-двенадцатиперстная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15399	left gastric vein	vena gastrica sinistra	left gastric vein	EXACT	Левый желудочная вена	APPLY	Левая желудочная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA15400	right gastric vein	vena gastrica dextra	right gastric vein	EXACT	Правый желудочная вена	APPLY	Правая желудочная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA15405	ileal vein			NO_MATCH	Подвздошная вена	KEEP	Подвздошная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15406	middle colic vein	vena colica media	middle colic vein	EXACT	Средняя ободочная вена	KEEP	Средняя ободочная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15407	right colic vein	vena colica dextra	right colic vein	EXACT	Правый ободочная вена	APPLY	Правая ободочная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA15408	ileocolic vein	vena ileocolica	ileocolic vein	EXACT	Подвздошно-ободочная вена	KEEP	Подвздошно-ободочная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15414	right portal vein			NO_MATCH	Правый воротная вена	APPLY	Правая воротная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15415	left portal vein			NO_MATCH	Левый воротная вена	APPLY	Левая воротная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15420	anterior superior segmental branch of right portal vein			NO_MATCH	Передняя верхняя сегментарная ветвь правой воротной вены	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15421	anterior inferior segmental branch of right portal vein			NO_MATCH	Передняя нижняя сегментарная ветвь правой воротной вены	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15423	posterior superior segmental branch of right portal vein			NO_MATCH	Задняя верхняя сегментарный ветвь правый воротная вена	APPLY	Задняя верхняя сегментарный ветвь Правая воротная вена	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA15424	posterior inferior segmental branch of right portal vein			NO_MATCH	Задняя нижняя сегментарный ветвь правый воротная вена	APPLY	Задняя нижняя сегментарный ветвь Правая воротная вена	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA15425	caudate lobe branch of left portal vein			NO_MATCH	Хвостатая доля ветвь левый воротная вена	APPLY	Хвостатая доля ветвь Левая воротная вена	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA15428	medial superior segmental branch of left portal vein			NO_MATCH	Медиальная верхняя сегментарный ветвь левый воротная вена	APPLY	Медиальная верхняя сегментарный ветвь Левая воротная вена	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA15429	medial inferior segmental branch of left portal vein			NO_MATCH	Медиальная нижняя сегментарный ветвь левый воротная вена	APPLY	Медиальная нижняя сегментарный ветвь Левая воротная вена	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA15431	lateral superior segmental branch of left portal vein			NO_MATCH	Латеральная верхняя сегментарный ветвь левый воротная вена	APPLY	Латеральная верхняя сегментарный ветвь Левая воротная вена	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA15432	lateral inferior segmental branch of left portal vein			NO_MATCH	Латеральная нижняя сегментарный ветвь левый воротная вена	APPLY	Латеральная нижняя сегментарный ветвь Левая воротная вена	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA15571	right ureter	ureter	ureter	PROBABLE	Правый мочеточник	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15572	left ureter	ureter	ureter	PROBABLE	Левый мочеточник	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15629	right adrenal gland	glandula suprarenalis	suprarenal gland	PROBABLE	Правый надпочечник	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15630	left adrenal gland	glandula suprarenalis	suprarenal gland	PROBABLE	Левый надпочечник	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15737	hepatovenous subsector			NO_MATCH	Печёночно-венозный подсектор	KEEP	Печёночно-венозный подсектор	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15739	hepatovenous segment ii			NO_MATCH	Печёночно-венозный сегмент ии	KEEP	Печёночно-венозный сегмент ии	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15741	hepatovenous segment iii			NO_MATCH	Печёночно-венозный сегмент иии	KEEP	Печёночно-венозный сегмент иии	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15742	hepatovenous segment iv			NO_MATCH	Печёночно-венозный сегмент ив	KEEP	Печёночно-венозный сегмент ив	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15743	hepatovenous segment v			NO_MATCH	Печёночно-венозный сегмент в	KEEP	Печёночно-венозный сегмент в	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15744	hepatovenous segment vi			NO_MATCH	Печёночно-венозный сегмент ви	KEEP	Печёночно-венозный сегмент ви	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15745	hepatovenous segment vii			NO_MATCH	Печёночно-венозный сегмент вии	KEEP	Печёночно-венозный сегмент вии	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15746	hepatovenous segment viii			NO_MATCH	Печёночно-венозный сегмент виии	KEEP	Печёночно-венозный сегмент виии	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15747	hepatovenous segment ix			NO_MATCH	Печёночно-венозный сегмент икс	KEEP	Печёночно-венозный сегмент икс	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA15755	region of anterior sector of right liver (in-vivo)			NO_MATCH	Область переднего сектора правой части печени	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15756	region of posterior sector of right liver (in-vivo)			NO_MATCH	Область заднего сектора правой части печени	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15757	region of anterior sector of left liver (in-vivo)			NO_MATCH	Область переднего сектора левой части печени	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15791	tributary of right hepatic vein			NO_MATCH	Приток правый печёночная вена	APPLY	Приток Правая печёночная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15793	tributary of middle hepatic vein			NO_MATCH	Приток средняя печёночная вена	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15794	tributary of left hepatic vein			NO_MATCH	Приток левый печёночная вена	APPLY	Приток Левая печёночная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15796	posterior superior segmental tributary of right hepatic vein			NO_MATCH	Задняя верхняя сегментарный приток правый печёночная вена	APPLY	Задняя верхняя сегментарный приток Правая печёночная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15797	posterior inferior segmental tributary of right hepatic vein			NO_MATCH	Задняя нижняя сегментарный приток правый печёночная вена	APPLY	Задняя нижняя сегментарный приток Правая печёночная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15798	anterior superior segmental tributary of right hepatic vein			NO_MATCH	Передний верхний сегментарный приток правой печёночной вены	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15800	anterior inferior segmental tributary of middle hepatic vein			NO_MATCH	Передний нижний сегментарный приток средней печёночной вены	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15801	medial inferior segmental tributary of middle hepatic vein			NO_MATCH	Медиальная нижняя сегментарный приток средняя печёночная вена	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA15802	medial superior segmental tributary of left hepatic vein			NO_MATCH	Медиальная верхняя сегментарный приток левый печёночная вена	APPLY	Медиальная верхняя сегментарный приток Левая печёночная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15803	lateral superior segmental tributary of left hepatic vein			NO_MATCH	Латеральная верхняя сегментарный приток левый печёночная вена	APPLY	Латеральная верхняя сегментарный приток Левая печёночная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15804	lateral inferior segmental tributary of left hepatic vein			NO_MATCH	Латеральная нижняя сегментарный приток левый печёночная вена	APPLY	Латеральная нижняя сегментарный приток Левая печёночная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA15900	urinary bladder	vesica urinaria	urinary bladder	EXACT	Мочевой пузырь	KEEP	Мочевой пузырь	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA16033	intervertebral disk of first lumbar vertebra			NO_MATCH	Межпозвоночное диск первая поясничная позвонок	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA16034	intervertebral disk of second lumbar vertebra			NO_MATCH	Межпозвоночное диск вторая поясничная позвонок	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA16035	intervertebral disk of third lumbar vertebra			NO_MATCH	Межпозвоночное диск третья поясничная позвонок	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA16036	intervertebral disk of fourth lumbar vertebra			NO_MATCH	Межпозвоночное диск четвёртая поясничная позвонок	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA16037	intervertebral disk of fifth lumbar vertebra			NO_MATCH	Межпозвоночное диск пятая поясничная позвонок	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA16202	sacrum	os sacrum	sacrum	EXACT	Сакрум	KEEP	Сакрум	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA16549	mesoappendix			NO_MATCH	Мэсоаппэндикс	KEEP	Мэсоаппэндикс	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA16585	hip bone	os coxae	hip bone	EXACT	Тазобедренная область кость	KEEP	Тазобедренная область кость	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA16586	right hip bone	os coxae	hip bone	PROBABLE	Правый тазобедренная область кость	APPLY	Правая тазобедренная область кость	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA16587	left hip bone	os coxae	hip bone	PROBABLE	Левый тазобедренная область кость	APPLY	Левая тазобедренная область кость	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA16980	zone of jejunum			NO_MATCH	Зона тощая кишка	APPLY	Зона тощей кишки	FMA/TA2 structure family with unambiguous Russian grammatical normalization.	HIGH
FMA16981	proximal part of jejunum			NO_MATCH	Проксимальная часть тощая кишка	APPLY	Проксимальная часть тощей кишки	FMA/TA2 structure family with unambiguous Russian grammatical normalization.	HIGH
FMA16982	middle part of jejunum			NO_MATCH	Средняя часть тощая кишка	APPLY	Средняя часть тощей кишки	FMA/TA2 structure family with unambiguous Russian grammatical normalization.	HIGH
FMA16983	distal part of jejunum			NO_MATCH	Дистальная часть тощая кишка	APPLY	Дистальная часть тощей кишки	FMA/TA2 structure family with unambiguous Russian grammatical normalization.	HIGH
FMA17541	tributary of hepatic vein			NO_MATCH	Приток печёночная вена	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA18060	psoas major	psoas major	psoas major	EXACT	Псоас большая	KEEP	Псоас большая	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18247	glans penis	glans penis	glans penis	EXACT	Головка полового члена	KEEP	Головка полового члена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18255	epididymis	epididymis	epididymis	EXACT	Придаток яичка	KEEP	Придаток яичка	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18256	right epididymis	epididymis	epididymis	PROBABLE	Правый придаток яичка	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA18257	left epididymis	epididymis	epididymis	PROBABLE	Левый придаток яичка	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA18805	external iliac artery	arteria iliaca externa	external iliac artery	EXACT	Наружная подвздошная артерия	KEEP	Наружная подвздошная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18806	right external iliac artery	arteria iliaca externa	external iliac artery	PROBABLE	Правый наружная подвздошная артерия	APPLY	Правая наружная подвздошная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18807	left external iliac artery	arteria iliaca externa	external iliac artery	PROBABLE	Левый наружная подвздошная артерия	APPLY	Левая наружная подвздошная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18808	internal iliac artery	arteria iliaca interna	internal iliac artery	EXACT	Внутренняя подвздошная артерия	KEEP	Внутренняя подвздошная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18809	right internal iliac artery	arteria iliaca interna	internal iliac artery	PROBABLE	Правый внутренняя подвздошная артерия	APPLY	Правая внутренняя подвздошная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18810	left internal iliac artery	arteria iliaca interna	internal iliac artery	PROBABLE	Левый внутренняя подвздошная артерия	APPLY	Левая внутренняя подвздошная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18883	external iliac vein	vena iliaca externa	external iliac vein	EXACT	Наружная подвздошная вена	KEEP	Наружная подвздошная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18884	internal iliac vein	vena iliaca interna	internal iliac vein	EXACT	Внутренняя подвздошная вена	KEEP	Внутренняя подвздошная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18885	right external iliac vein	vena iliaca externa	external iliac vein	PROBABLE	Правый наружная подвздошная вена	APPLY	Правая наружная подвздошная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18886	left external iliac vein	vena iliaca externa	external iliac vein	PROBABLE	Левый наружная подвздошная вена	APPLY	Левая наружная подвздошная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18887	right internal iliac vein	vena iliaca interna	internal iliac vein	PROBABLE	Правый внутренняя подвздошная вена	APPLY	Правая внутренняя подвздошная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18888	left internal iliac vein	vena iliaca interna	internal iliac vein	PROBABLE	Левый внутренняя подвздошная вена	APPLY	Левая внутренняя подвздошная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18889	tributary of internal iliac vein			NO_MATCH	Приток внутренняя подвздошная вена	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA18902	iliolumbar vein	vena iliolumbalis	iliolumbar vein	EXACT	Илиолумбар вена	KEEP	Илиолумбар вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18903	right iliolumbar vein	vena iliolumbalis	iliolumbar vein	PROBABLE	Правый илиолумбар вена	APPLY	Правая илиолумбар вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18904	left iliolumbar vein	vena iliolumbalis	iliolumbar vein	PROBABLE	Левый илиолумбар вена	APPLY	Левая илиолумбар вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18905	lateral sacral vein			NO_MATCH	Латеральная крестцовая вена	KEEP	Латеральная крестцовая вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18906	right lateral sacral vein			NO_MATCH	Правый латеральная крестцовая вена	APPLY	Правая латеральная крестцовая вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18907	left lateral sacral vein			NO_MATCH	Левый латеральная крестцовая вена	APPLY	Левая латеральная крестцовая вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18908	superior gluteal vein			NO_MATCH	Верхняя ягодичная вена	KEEP	Верхняя ягодичная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18909	right superior gluteal vein			NO_MATCH	Правый верхняя ягодичная вена	APPLY	Правая верхняя ягодичная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18910	left superior gluteal vein			NO_MATCH	Левый верхняя ягодичная вена	APPLY	Левая верхняя ягодичная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18911	inferior gluteal vein			NO_MATCH	Нижняя ягодичная вена	KEEP	Нижняя ягодичная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18912	right inferior gluteal vein			NO_MATCH	Правый нижняя ягодичная вена	APPLY	Правая нижняя ягодичная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18913	left inferior gluteal vein			NO_MATCH	Левый нижняя ягодичная вена	APPLY	Левая нижняя ягодичная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18914	obturator vein			NO_MATCH	Обтуратор вена	KEEP	Обтуратор вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18915	right obturator vein			NO_MATCH	Правый обтуратор вена	APPLY	Правая обтуратор вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18916	left obturator vein			NO_MATCH	Левый обтуратор вена	APPLY	Левая обтуратор вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18917	internal pudendal vein	vena pudendalis interna	internal pudendal vein	EXACT	Внутренняя пудендальная вена	KEEP	Внутренняя пудендальная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA18918	right internal pudendal vein	vena pudendalis interna	internal pudendal vein	PROBABLE	Правый внутренняя пудендальная вена	APPLY	Правая внутренняя пудендальная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA18919	left internal pudendal vein	vena pudendalis interna	internal pudendal vein	PROBABLE	Левый внутренняя пудендальная вена	APPLY	Левая внутренняя пудендальная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA19082	piriformis			NO_MATCH	Пириформис	KEEP	Пириформис	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA19083	obturator muscle			NO_MATCH	Обтуратор мышца	KEEP	Обтуратор мышца	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA19086	muscle of pelvis			NO_MATCH	Мышца таз	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA19088	coccygeus			NO_MATCH	Коккйгэус	KEEP	Коккйгэус	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA19089	zone of levator ani			NO_MATCH	Зона мышца, поднимающая ани	KEEP	Зона мышца, поднимающая ани	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
